data_year,edition_year,source_order,iso3,country_name,source_country_name,rank,tied_rank,score,military_expenditure_index,military_personnel_index,heavy_weapons_index,trend_reference_year,score_change_2y,score_change_2y_pct,quality_flag,source_dataset_version,source_variables,row_sha256
2022,2023,57,CHE,Switzerland,Switzerland,57,0,114.0,0.65,0.32,2.16,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,1c5f3684b72f3815a54cc81f4703e41c43aaf1448896f10511addf9b343da2e2
2022,2023,58,BGR,Bulgaria,Bulgaria,58,0,114.0,1.1,0.5,1.53,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,3d4332caf7c5ec11ab4f8d03c22990474535437bc19cb9ab9da44b9625d063f7
2022,2023,59,GAB,Gabon,Gabon,59,0,114.0,1.11,0.61,1.39,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,acc30e9267547735013dde51b2e0fa8768bf29ece55aa054aebed6b8830f8b3c
2022,2023,60,GNB,Guinea-Bissau,Guinea-Bissau,60,0,112.0,1.15,0.73,1.18,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,15a599e97756bbbe654c7a8a39becea86da5de3861e159eb913b1f2c669bd0e4
2022,2023,61,SVK,Slovakia,Slovakia,61,0,111.0,1.24,0.31,1.5,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,deff0a5f85e7cc0c10b57aef6c4a948c36577509e6d7e7e5c020ac6c4c10564f
2022,2023,62,SWE,Sweden,Sweden,62,0,111.0,0.97,0.12,1.94,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,b4998d0475f3c43334e5b4d2f1bcd465af721ecd30923afeb43a47b60cad7c7b
2022,2023,63,THA,Thailand,Thailand,63,0,110.0,1.0,0.88,1.12,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,ca2c2154802c9371b2136714f3b6417a733a74867a929cc8d98b98530c192fdc
2022,2023,64,LVA,Latvia,Latvia,64,0,110.0,1.37,0.42,1.21,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,8990b3e4259b9597d5c13804debc25379bc3d7274f105889e8f42c73a15792d4
2022,2023,65,ITA,Italy,Italy,65,0,109.0,1.17,0.51,1.31,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,20fd6db01fc56ff40f86f5dec5298982af2dceed57b4a1982b3d27623085a013
2022,2023,66,COL,Colombia,Colombia,66,0,109.0,1.72,0.81,0.45,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,3535ab2c9a7dad4110ab906352af6c3d50e0b84d8b6cd47d00aa27274c85c956
2022,2023,67,DNK,Denmark,Denmark,67,0,109.0,1.03,0.31,1.64,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,79b75e01171490a9c9d2248f836d010f3884766d125f95a524a73082e7f24a5f
2022,2023,68,SDN,Sudan,Sudan,68,0,107.0,0.9,0.86,1.16,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,fd871129e39246cb7e18364859271332602bf36e5dc976e88047ddc1c6fd5d5a
2022,2023,69,SVN,Slovenia,Slovenia,69,0,106.0,0.92,0.33,1.67,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,59002e1be0d9d2712ac4f6b350d8b613f2835ed0ed23cbe285e24ece7c29f1ff
2022,2023,70,GBR,United Kingdom,United Kingdom,70,0,106.0,1.37,0.26,1.28,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,f08261b5f19ccd5ded85a42bf358a1d2327fe0a3d959c8ff35cb0da63b3615a4
2022,2023,71,VEN,Venezuela,Venezuela,71,0,106.0,0.65,1.14,1.11,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,d1b0b0adae5ed06c5221ec1e40554ff2c50c71f90c3c20e97fc19a3c35560384
2022,2023,72,RWA,Rwanda,Rwanda,72,0,103.0,1.09,0.97,0.77,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,ee6053e50482702244f7b40ab4adff834a170ae15837380c7184476c5aa980c4
2022,2023,73,UGA,Uganda,Uganda,73,0,102.0,1.52,0.58,0.68,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,4ffda16c55668789dfe9548949ab838fff264885909c2a80e4ac08f1515fc4a1
